TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(A),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)
00:01:15,2.220,2.426,2.603,4.162,8.091,12.188,32.232
00:01:16,2.221,2.426,2.592,4.153,8.056,12.181,32.123
00:01:17,2.217,2.411,2.613,4.166,8.069,12.181,32.144
00:01:18,2.289,2.425,2.589,4.160,8.078,12.161,31.953
00:01:19,2.289,2.414,2.629,4.162,8.091,12.188,32.089
00:01:20,2.234,2.424,2.608,4.164,8.087,12.181,32.300
00:01:21,2.234,2.428,2.649,4.162,8.091,12.181,33.320
00:01:22,2.246,2.414,2.589,4.161,8.087,12.174,31.865
00:01:23,2.246,2.426,2.581,4.145,8.074,12.223,32.253
00:01:24,2.229,2.419,2.418,4.162,8.109,12.181,32.266
00:01:25,2.230,2.425,2.609,4.165,8.136,12.216,32.287
00:01:26,2.232,2.423,2.585,4.160,8.091,12.174,33.300
00:01:27,2.220,2.423,2.606,4.165,8.087,12.181,32.334
00:01:28,2.220,2.432,2.575,4.154,8.091,12.181,32.450
00:01:29,2.236,2.423,2.608,4.165,8.087,12.181,32.232
00:01:30,2.236,2.426,2.612,4.134,8.038,12.188,32.219
