TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(V),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)
00:00:59,2.143,2.428,2.86,4.04,7.69,11.39,27.81
00:01:00,2.146,2.411,2.84,4.04,7.69,11.39,27.46
00:01:01,2.132,2.426,2.85,4.04,7.69,11.40,27.80
00:01:02,2.122,2.426,2.85,4.04,7.69,11.40,27.91
00:01:03,2.138,2.425,2.85,4.04,7.70,11.40,27.89
00:01:04,2.125,2.426,2.86,4.04,7.70,11.39,27.85
00:01:05,2.138,2.426,2.85,4.04,7.70,11.40,27.88
00:01:06,2.267,2.443,2.86,4.04,7.71,11.41,27.90
00:01:07,2.139,2.426,2.85,4.04,7.70,11.42,27.89
00:01:08,2.262,2.437,2.85,4.04,7.70,11.42,27.78
00:01:09,2.138,2.425,2.85,4.04,7.70,11.41,27.97
00:01:10,2.208,2.405,2.82,4.04,7.70,11.41,27.72
00:01:11,2.131,2.427,2.85,4.04,7.70,11.42,27.51
00:01:12,2.251,2.430,2.84,4.04,7.70,11.42,27.76
00:01:13,2.135,2.426,2.85,4.04,7.71,11.42,28.09
00:01:14,2.114,2.424,2.86,4.04,7.70,11.42,28.03
00:01:15,2.133,2.425,2.85,4.04,7.70,11.42,28.11
00:01:16,2.104,2.421,2.86,4.04,7.70,11.43,28.06
00:01:17,2.135,2.425,2.85,4.04,7.71,11.43,27.88
00:01:18,2.161,2.431,2.85,4.04,7.70,11.43,28.09
00:01:19,2.137,2.428,2.85,4.04,7.71,11.44,27.93
00:01:20,2.160,2.432,2.86,4.04,7.71,11.43,27.80
00:01:21,2.136,2.428,2.86,4.04,7.71,11.43,27.94
00:01:22,2.159,2.433,2.86,4.04,7.70,11.44,27.80
00:01:23,2.129,2.408,2.84,4.04,7.71,11.44,27.61
00:01:24,2.119,2.425,2.86,4.04,7.71,11.44,27.85
00:01:25,2.143,2.428,2.85,4.04,7.71,11.44,27.86
00:01:26,2.120,2.425,2.85,4.04,7.71,11.44,27.84
00:01:27,2.138,2.425,2.85,4.04,7.71,11.44,27.87
00:01:28,2.109,2.420,2.85,4.04,7.71,11.44,27.87
00:01:29,2.143,2.428,2.86,4.04,7.71,11.44,27.87
00:01:30,2.159,2.428,2.85,4.04,7.71,11.46,27.94
00:01:31,2.141,2.427,2.85,4.04,7.71,11.45,27.89
00:01:32,2.156,2.425,2.85,4.04,7.71,11.45,27.71
00:01:33,2.138,2.426,2.85,4.04,7.71,11.46,27.89
00:01:34,2.263,2.454,2.88,4.05,7.71,11.47,28.59
00:01:35,2.125,2.425,2.85,4.04,7.71,11.47,27.83
00:01:36,2.198,2.432,2.85,4.04,7.71,11.47,28.68
00:01:37,2.122,2.424,2.85,4.04,7.71,11.47,27.82
00:01:38,2.172,2.430,2.85,4.05,7.71,11.47,28.51
00:01:39,2.104,2.415,2.85,4.04,7.72,11.47,27.81
00:01:40,2.154,2.422,2.85,4.04,7.71,11.47,27.74
00:01:41,2.121,2.408,2.84,4.04,7.71,11.47,27.71
00:01:42,2.143,2.428,2.86,4.05,7.72,11.47,27.90
00:01:43,2.175,2.407,2.83,4.04,7.72,11.48,27.53
00:01:44,2.143,2.422,2.85,4.05,7.72,11.48,27.94
00:01:45,2.128,2.428,2.85,4.05,7.72,11.49,27.94
00:01:46,2.142,2.424,2.85,4.05,7.72,11.49,27.97
00:01:47,2.179,2.431,2.85,4.05,7.72,11.49,28.61
00:01:48,2.144,2.425,2.85,4.05,7.72,11.49,27.95
00:01:49,2.159,2.426,2.86,4.05,7.72,11.49,27.81
00:01:50,2.140,2.425,2.85,4.05,7.72,11.50,27.97
00:01:51,2.138,2.425,2.85,4.05,7.73,11.49,27.91
00:01:52,2.148,2.422,2.84,4.05,7.72,11.50,27.89
00:01:53,2.133,2.425,2.85,4.05,7.72,11.49,27.97
00:01:54,2.172,2.426,2.85,4.05,7.72,11.49,28.57
00:01:55,2.144,2.426,2.85,4.05,7.73,11.50,28.01
00:01:56,2.159,2.425,2.85,4.05,7.73,11.51,27.85
00:01:57,2.117,2.408,2.84,4.04,7.72,11.49,27.81
00:01:58,2.159,2.427,2.85,4.05,7.72,11.51,27.91
00:01:59,2.191,2.401,2.82,4.04,7.72,11.51,27.54
00:02:00,2.156,2.427,2.85,4.05,7.72,11.51,27.93
00:02:01,2.265,2.430,2.85,4.05,7.73,11.51,27.84
00:02:02,2.149,2.422,2.84,4.05,7.72,11.51,28.01
00:02:03,2.270,2.431,2.85,4.05,7.73,11.51,27.87
00:02:04,2.135,2.427,2.85,4.05,7.73,11.51,27.99
00:02:05,2.114,2.417,2.85,4.05,7.72,11.52,27.98
00:02:06,2.143,2.424,2.85,4.05,7.73,11.52,28.04
00:02:07,2.146,2.409,2.83,4.05,7.73,11.51,27.76
00:02:08,2.149,2.429,2.86,4.05,7.73,11.52,28.05
00:02:09,2.160,2.428,2.86,4.05,7.73,11.52,27.98
00:02:10,2.140,2.425,2.85,4.05,7.73,11.53,28.03
00:02:11,2.151,2.425,2.85,4.05,7.73,11.53,28.06
00:02:12,2.133,2.425,2.85,4.05,7.73,11.53,28.03
00:02:13,2.151,2.428,2.85,4.05,7.73,11.53,28.01
00:02:14,2.181,2.428,2.85,4.05,7.73,11.53,28.70
00:02:15,2.159,2.425,2.84,4.05,7.73,11.53,27.91
00:02:16,2.272,2.430,2.85,4.05,7.73,11.54,27.95
00:02:17,2.154,2.422,2.85,4.05,7.73,11.54,28.01
00:02:18,2.262,2.456,2.88,4.06,7.73,11.54,28.71
00:02:19,2.130,2.425,2.85,4.05,7.73,11.54,27.98
00:02:20,2.175,2.427,2.86,4.05,7.73,11.53,28.27
00:02:21,2.133,2.407,2.84,4.05,7.73,11.54,27.86
00:02:22,2.162,2.425,2.85,4.05,7.73,11.53,27.89
00:02:23,2.251,2.428,2.83,4.06,7.73,11.55,27.74
00:02:24,2.160,2.428,2.85,4.05,7.74,11.54,27.91
00:02:25,2.272,2.430,2.84,4.06,7.74,11.56,27.93
00:02:26,2.151,2.428,2.85,4.05,7.73,11.55,27.97
00:02:27,2.116,2.411,2.84,4.05,7.73,11.55,27.89
00:02:28,2.144,2.422,2.84,4.06,7.74,11.55,28.00
00:02:29,2.193,2.401,2.82,4.05,7.73,11.56,27.65
00:02:30,2.139,2.425,2.85,4.05,7.74,11.55,27.98
00:02:31,2.160,2.428,2.86,4.05,7.74,11.55,27.91
00:02:32,2.136,2.425,2.84,4.06,7.74,11.56,27.95
00:02:33,2.153,2.425,2.85,4.06,7.73,11.56,27.97
00:02:34,2.114,2.410,2.84,4.05,7.73,11.56,27.88
00:02:35,2.148,2.425,2.84,4.06,7.74,11.56,28.02
00:02:36,2.190,2.430,2.86,4.06,7.74,11.56,28.73
00:02:37,2.149,2.425,2.85,4.06,7.74,11.56,28.08
00:02:38,2.169,2.427,2.85,4.06,7.74,11.57,28.02
00:02:39,2.152,2.430,2.86,4.06,7.74,11.56,28.11
00:02:40,2.163,2.427,2.85,4.06,7.74,11.56,28.09
00:02:41,2.274,2.436,2.85,4.06,7.74,11.57,28.49
00:02:42,2.153,2.424,2.85,4.06,7.74,11.57,28.06
00:02:43,2.178,2.426,2.85,4.06,7.74,11.56,28.44
00:02:44,2.146,2.424,2.85,4.06,7.74,11.57,28.07
00:02:45,2.167,2.428,2.85,4.06,7.74,11.57,27.97
00:02:46,2.141,2.423,2.85,4.06,7.74,11.57,28.11
00:02:47,2.155,2.429,2.86,4.06,7.74,11.58,28.07
00:02:48,2.222,2.437,2.86,4.06,7.75,11.57,28.78
00:02:49,2.141,2.427,2.85,4.06,7.75,11.58,28.06
00:02:50,2.161,2.428,2.86,4.06,7.74,11.58,28.04
00:02:51,2.149,2.426,2.86,4.06,7.74,11.58,28.10
00:02:52,2.170,2.428,2.86,4.06,7.75,11.58,27.99
00:02:53,2.153,2.424,2.85,4.06,7.75,11.58,28.10
00:02:54,2.185,2.427,2.85,4.06,7.75,11.58,28.69
00:02:55,2.135,2.427,2.85,4.06,7.75,11.58,28.13
00:02:56,2.286,2.434,2.85,4.06,7.75,11.58,28.38
00:02:57,2.161,2.425,2.85,4.06,7.75,11.59,28.13
00:02:58,2.149,2.427,2.85,4.06,7.74,11.58,28.12
00:02:59,2.170,2.426,2.85,4.06,7.75,11.58,28.06
00:03:00,2.123,2.409,2.84,4.06,7.74,11.58,28.09
00:03:01,2.191,2.429,2.85,4.06,7.75,11.58,28.85
00:03:02,2.135,2.425,2.84,4.06,7.75,11.58,28.22
00:03:03,2.278,2.426,2.84,4.06,7.75,11.58,28.34
00:03:04,2.149,2.428,2.85,4.06,7.76,11.59,28.24
00:03:05,2.159,2.422,2.85,4.06,7.75,11.58,28.19
00:03:06,2.151,2.427,2.86,4.06,7.75,11.58,28.26
00:03:07,2.170,2.425,2.85,4.06,7.75,11.58,28.16
00:03:08,2.170,2.425,2.85,4.06,7.75,11.59,28.01
00:03:09,2.120,2.419,2.85,4.06,7.76,11.58,28.27
00:03:10,2.227,2.433,2.85,4.06,7.76,11.58,28.92
00:03:11,2.167,2.425,2.85,4.06,7.76,11.59,28.25
00:03:12,2.125,2.408,2.83,4.06,7.75,11.59,28.14
00:03:13,2.186,2.428,2.85,4.06,7.75,11.59,28.91
00:03:14,2.135,2.423,2.85,4.06,7.76,11.58,28.22
00:03:15,2.280,2.445,2.86,4.07,7.76,11.60,28.85
00:03:16,2.145,2.425,2.85,4.06,7.76,11.59,28.26
00:03:17,2.164,2.425,2.85,4.06,7.76,11.59,28.17
00:03:18,2.166,2.425,2.85,4.06,7.75,11.59,28.29
00:03:19,2.170,2.407,2.83,4.06,7.76,11.59,27.97
00:03:20,2.174,2.425,2.85,4.06,7.76,11.59,28.59
00:03:21,2.134,2.423,2.85,4.06,7.76,11.59,28.28
00:03:22,2.162,2.425,2.84,4.06,7.76,11.60,28.35
00:03:23,2.150,2.424,2.85,4.06,7.76,11.60,28.34
00:03:24,2.173,2.426,2.85,4.06,7.76,11.60,28.20
00:03:25,2.159,2.427,2.85,4.06,7.76,11.60,28.33
00:03:26,2.285,2.430,2.84,4.06,7.76,11.60,28.48
00:03:27,2.169,2.426,2.85,4.07,7.76,11.60,28.30
00:03:28,2.119,2.412,2.84,4.06,7.76,11.60,28.31
00:03:29,2.157,2.424,2.85,4.07,7.76,11.60,28.38
00:03:30,2.145,2.424,2.85,4.06,7.77,11.60,28.43
00:03:31,2.170,2.425,2.84,4.07,7.76,11.60,28.39
00:03:32,2.159,2.425,2.85,4.06,7.76,11.60,28.41
00:03:33,2.277,2.431,2.85,4.07,7.76,11.61,28.35
00:03:34,2.159,2.431,2.86,4.07,7.77,11.60,28.42
00:03:35,2.135,2.423,2.85,4.06,7.77,11.60,28.38
00:03:36,2.164,2.425,2.85,4.07,7.77,11.61,28.41
00:03:37,2.162,2.430,2.85,4.07,7.77,11.60,28.43
00:03:38,2.219,2.434,2.86,4.07,7.77,11.61,29.14
00:03:39,2.164,2.427,2.85,4.07,7.77,11.60,28.41
00:03:40,2.146,2.419,2.84,4.07,7.76,11.60,28.43
00:03:41,2.178,2.426,2.85,4.07,7.77,11.60,28.60
00:03:42,2.163,2.425,2.85,4.07,7.76,11.60,28.37
00:03:43,2.242,2.423,2.83,4.07,7.77,11.61,28.14
00:03:44,2.163,2.429,2.85,4.07,7.77,11.61,28.53
00:03:45,2.143,2.424,2.85,4.07,7.77,11.61,28.55
00:03:46,2.169,2.427,2.84,4.07,7.77,11.61,28.41
00:03:47,2.166,2.428,2.86,4.07,7.77,11.61,28.55
00:03:48,2.281,2.428,2.84,4.07,7.77,11.61,28.47
00:03:49,2.212,2.407,2.81,4.07,7.77,11.62,28.20
00:03:50,2.159,2.425,2.85,4.07,7.77,11.62,28.53
00:03:51,2.278,2.428,2.84,4.07,7.77,11.62,28.49
00:03:52,2.173,2.427,2.85,4.07,7.77,11.61,28.48
00:03:53,2.144,2.423,2.85,4.07,7.77,11.61,28.56
00:03:54,2.180,2.406,2.82,4.06,7.77,11.62,28.18
00:03:55,2.163,2.426,2.86,4.07,7.77,11.62,28.57
00:03:56,2.272,2.431,2.85,4.07,7.77,11.62,28.30
00:03:57,2.179,2.425,2.85,4.07,7.77,11.62,28.71
00:03:58,2.144,2.427,2.85,4.07,7.77,11.62,28.66
00:03:59,2.191,2.402,2.82,4.07,7.77,11.62,28.32
00:04:00,2.183,2.428,2.84,4.07,7.77,11.62,28.98
00:04:01,2.150,2.428,2.86,4.07,7.77,11.61,28.70
00:04:02,2.180,2.402,2.83,4.07,7.77,11.62,28.35
00:04:03,2.159,2.425,2.85,4.07,7.77,11.62,28.73
00:04:04,2.146,2.424,2.85,4.07,7.77,11.62,28.72
00:04:05,2.174,2.426,2.85,4.07,7.77,11.62,28.67
00:04:06,2.157,2.422,2.85,4.07,7.77,11.61,28.73
00:04:07,2.274,2.428,2.85,4.07,7.77,11.62,28.64
00:04:08,2.161,2.425,2.85,4.07,7.77,11.62,28.69
00:04:09,2.148,2.425,2.85,4.07,7.78,11.62,28.73
00:04:10,2.155,2.422,2.84,4.07,7.77,11.62,28.79
00:04:11,2.170,2.407,2.83,4.07,7.77,11.62,28.50
00:04:12,2.162,2.425,2.85,4.07,7.78,11.62,28.79
00:04:13,2.149,2.424,2.85,4.07,7.78,11.63,28.88
00:04:14,2.271,2.448,2.86,4.07,7.78,11.62,29.45
00:04:15,2.154,2.424,2.84,4.07,7.78,11.63,28.84
00:04:16,2.138,2.422,2.85,4.07,7.77,11.62,28.75
00:04:17,2.167,2.425,2.85,4.07,7.78,11.63,28.74
00:04:18,2.160,2.424,2.85,4.07,7.78,11.63,28.80
00:04:19,2.278,2.425,2.84,4.07,7.78,11.63,29.25
00:04:20,2.151,2.423,2.84,4.07,7.78,11.64,28.94
00:04:21,2.162,2.428,2.86,4.07,7.78,11.62,28.89
00:04:22,2.292,2.436,2.85,4.07,7.78,11.63,29.14
00:04:23,2.175,2.425,2.85,4.07,7.78,11.63,28.82
00:04:24,2.138,2.423,2.85,4.07,7.78,11.63,28.93
00:04:25,2.172,2.425,2.85,4.07,7.78,11.63,28.91
00:04:26,2.161,2.425,2.85,4.07,7.78,11.63,28.95
00:04:27,2.285,2.428,2.85,4.07,7.78,11.64,29.04
00:04:28,2.171,2.424,2.85,4.07,7.78,11.62,28.85
00:04:29,2.142,2.425,2.85,4.07,7.78,11.64,28.92
00:04:30,2.279,2.426,2.85,4.07,7.78,11.65,28.98
00:04:31,2.176,2.428,2.85,4.08,7.78,11.63,28.94
00:04:32,2.173,2.425,2.85,4.07,7.78,11.64,28.81
00:04:33,2.161,2.423,2.85,4.07,7.78,11.64,28.97
00:04:34,2.275,2.419,2.83,4.07,7.79,11.64,28.96
00:04:35,2.175,2.424,2.85,4.07,7.78,11.64,28.95
00:04:36,2.143,2.427,2.86,4.07,7.78,11.64,29.05
00:04:37,2.169,2.423,2.85,4.07,7.78,11.65,28.99
00:04:38,2.165,2.426,2.85,4.07,7.79,11.64,29.07
00:04:39,2.275,2.428,2.85,4.07,7.78,11.65,28.83
00:04:40,2.175,2.423,2.84,4.07,7.79,11.65,28.98
00:04:41,2.154,2.425,2.85,4.08,7.79,11.66,27.88
00:04:42,2.141,2.408,2.84,4.08,7.80,11.68,28.42
00:04:43,2.283,2.435,2.85,4.09,7.81,11.68,29.59
00:04:44,2.163,2.422,2.85,4.08,7.80,11.67,29.02
00:04:45,2.156,2.425,2.85,4.08,7.80,11.67,29.05
00:04:46,2.183,2.424,2.85,4.08,7.80,11.67,28.98
00:04:47,2.172,2.425,2.85,4.08,7.81,11.68,29.04
00:04:48,2.140,2.423,2.86,4.08,7.81,11.67,29.06
00:04:49,2.179,2.428,2.85,4.08,7.80,11.67,29.03
00:04:50,2.170,2.425,2.85,4.08,7.80,11.67,29.13
00:04:51,2.151,2.408,2.83,4.08,7.80,11.67,28.96
00:04:52,2.143,2.422,2.84,4.08,7.81,11.67,29.16
00:04:53,2.181,2.425,2.85,4.08,7.80,11.68,29.15
00:04:54,2.151,2.422,2.85,4.08,7.80,11.67,29.16
00:04:55,2.158,2.406,2.83,4.08,7.80,11.67,28.90
00:04:56,2.172,2.424,2.85,4.08,7.80,11.68,29.12
00:04:57,2.167,2.425,2.85,4.08,7.80,11.67,29.12
00:04:58,2.272,2.425,2.85,4.08,7.80,11.68,28.84
00:04:59,2.167,2.422,2.84,4.08,7.80,11.68,29.18
00:05:00,2.157,2.422,2.84,4.08,7.80,11.67,29.19
00:05:01,2.267,2.440,2.86,4.09,7.81,11.68,29.92
00:05:02,2.180,2.425,2.85,4.08,7.80,11.68,29.07
00:05:03,2.167,2.425,2.85,4.08,7.81,11.69,29.22
00:05:04,2.138,2.422,2.85,4.08,7.81,11.68,29.14
00:05:05,2.171,2.423,2.85,4.08,7.81,11.67,29.19
00:05:06,2.130,2.415,2.85,4.08,7.80,11.68,29.10
00:05:07,2.222,2.432,2.85,4.09,7.81,11.69,30.02
00:05:08,2.154,2.422,2.85,4.08,7.80,11.67,29.18
00:05:09,2.253,2.428,2.83,4.08,7.81,11.69,28.86
00:05:10,2.168,2.426,2.85,4.08,7.81,11.69,29.18
00:05:11,2.293,2.436,2.85,4.09,7.81,11.69,29.49
00:05:12,2.178,2.426,2.85,4.09,7.80,11.69,29.15
00:05:13,2.159,2.427,2.85,4.09,7.81,11.69,29.31
00:05:14,2.213,2.410,2.82,4.08,7.81,11.69,28.93
00:05:15,2.170,2.425,2.85,4.08,7.81,11.68,29.29
00:05:16,2.288,2.430,2.84,4.08,7.81,11.68,29.33
00:05:17,2.177,2.423,2.85,4.09,7.81,11.69,29.27
00:05:18,2.143,2.424,2.85,4.08,7.81,11.69,29.32
00:05:19,2.277,2.440,2.85,4.09,7.81,11.69,30.05
00:05:20,2.159,2.422,2.85,4.08,7.81,11.69,29.42
00:05:21,2.194,2.425,2.85,4.09,7.81,11.69,30.00
00:05:22,2.172,2.425,2.85,4.09,7.81,11.69,29.43
00:05:23,2.147,2.423,2.84,4.09,7.81,11.69,29.46
00:05:24,2.282,2.426,2.84,4.09,7.81,11.69,29.84
00:05:25,2.165,2.425,2.85,4.09,7.81,11.69,29.53
00:05:26,2.161,2.407,2.83,4.08,7.81,11.68,29.25
00:05:27,2.170,2.425,2.85,4.09,7.81,11.69,29.54
00:05:28,2.281,2.424,2.83,4.09,7.81,11.70,29.40
00:05:29,2.178,2.426,2.85,4.09,7.81,11.69,29.48
00:05:30,2.131,2.415,2.85,4.08,7.81,11.69,29.45
00:05:31,2.218,2.432,2.85,4.09,7.82,11.69,30.26
00:05:32,2.159,2.422,2.85,4.09,7.81,11.69,29.51
00:05:33,2.184,2.425,2.85,4.09,7.81,11.69,29.49
00:05:34,2.127,2.411,2.84,4.08,7.81,11.69,29.53
00:05:35,2.167,2.425,2.86,4.09,7.81,11.69,29.64
00:05:36,2.159,2.406,2.83,4.08,7.81,11.69,29.37
00:05:37,2.173,2.426,2.85,4.09,7.82,11.69,29.63
00:05:38,2.154,2.425,2.85,4.09,7.81,11.69,29.66
00:05:39,2.178,2.423,2.85,4.09,7.81,11.69,29.63
00:05:40,2.137,2.421,2.85,4.08,7.81,11.69,29.61
00:05:41,2.261,2.451,2.88,4.09,7.82,11.70,30.38
00:05:42,2.164,2.425,2.86,4.09,7.81,11.70,29.63
00:05:43,2.191,2.402,2.82,4.09,7.82,11.69,29.34
00:05:44,2.180,2.425,2.85,4.09,7.81,11.69,29.66
00:05:45,2.149,2.422,2.85,4.09,7.82,11.69,29.62
00:05:46,2.287,2.444,2.87,4.09,7.82,11.70,30.30
00:05:47,2.159,2.422,2.84,4.09,7.81,11.70,29.70
00:05:48,2.151,2.408,2.83,4.09,7.81,11.69,29.48
00:05:49,2.171,2.423,2.85,4.09,7.82,11.70,29.66
00:05:50,2.265,2.431,2.85,4.09,7.82,11.70,29.37
00:05:51,2.185,2.425,2.85,4.09,7.82,11.71,29.66
00:05:52,2.151,2.422,2.85,4.09,7.81,11.70,29.75
00:05:53,2.167,2.423,2.84,4.09,7.82,11.70,29.78
00:05:54,2.279,2.431,2.85,4.09,7.82,11.70,30.34
00:05:55,2.189,2.424,2.85,4.09,7.81,11.70,29.93
00:05:56,2.156,2.424,2.85,4.09,7.82,11.71,29.78
00:05:57,2.183,2.428,2.85,4.09,7.81,11.70,29.77
00:05:58,2.171,2.427,2.85,4.09,7.82,11.71,29.81
00:05:59,2.242,2.443,2.87,4.09,7.82,11.71,30.52
00:06:00,2.174,2.423,2.84,4.09,7.82,11.71,29.79
00:06:01,2.183,2.403,2.82,4.09,7.82,11.71,29.47
00:06:02,2.175,2.424,2.84,4.09,7.82,11.71,29.75
00:06:03,2.163,2.428,2.86,4.09,7.82,11.71,29.82
00:06:04,2.188,2.426,2.85,4.09,7.82,11.71,29.77
00:06:05,2.183,2.425,2.85,4.09,7.82,11.71,29.85
00:06:06,2.144,2.422,2.85,4.09,7.82,11.70,29.78
00:06:07,2.182,2.427,2.85,4.09,7.82,11.71,29.80
00:06:08,2.170,2.424,2.85,4.09,7.82,11.70,29.87
00:06:09,2.291,2.437,2.85,4.09,7.83,11.71,30.34
00:06:10,2.180,2.424,2.85,4.09,7.82,11.71,29.82
00:06:11,2.141,2.422,2.85,4.09,7.82,11.71,29.95
00:06:12,2.281,2.424,2.84,4.09,7.82,11.71,30.07
00:06:13,2.170,2.424,2.85,4.09,7.82,11.71,30.00
00:06:14,2.233,2.419,2.82,4.09,7.82,11.71,29.59
00:06:15,2.189,2.425,2.85,4.09,7.82,11.71,30.21
00:06:16,2.178,2.425,2.85,4.09,7.83,11.71,29.99
00:06:17,2.164,2.425,2.85,4.09,7.83,11.71,30.06
00:06:18,2.215,2.429,2.85,4.09,7.82,11.71,30.66
00:06:19,2.170,2.428,2.85,4.09,7.83,11.72,30.02
00:06:20,2.127,2.411,2.84,4.09,7.82,11.71,29.92
00:06:21,2.178,2.423,2.85,4.09,7.83,11.72,30.03
00:06:22,2.163,2.424,2.85,4.09,7.83,11.71,30.01
00:06:23,2.199,2.425,2.85,4.09,7.83,11.71,30.53
00:06:24,2.160,2.425,2.85,4.09,7.83,11.71,30.04
00:06:25,2.198,2.401,2.81,4.09,7.83,11.71,29.76
00:06:26,2.185,2.423,2.85,4.09,7.83,11.72,30.00
00:06:27,2.172,2.425,2.85,4.09,7.83,11.71,30.09
00:06:28,2.283,2.423,2.84,4.09,7.83,11.71,29.97
00:06:29,2.171,2.423,2.85,4.09,7.83,11.72,30.16
00:06:30,2.151,2.424,2.85,4.09,7.82,11.72,30.12
00:06:31,2.180,2.422,2.85,4.09,7.82,11.72,30.11
00:06:32,2.167,2.421,2.84,4.09,7.83,11.72,30.18
00:06:33,2.280,2.427,2.84,4.09,7.83,11.72,30.35
00:06:34,2.174,2.426,2.85,4.09,7.83,11.72,30.15
00:06:35,2.166,2.429,2.86,4.09,7.82,11.71,30.17
00:06:36,2.188,2.423,2.85,4.09,7.83,11.72,30.03
00:06:37,2.186,2.423,2.85,4.09,7.83,11.72,30.20
00:06:38,2.158,2.423,2.84,4.09,7.84,11.72,30.22
00:06:39,2.178,2.405,2.83,4.09,7.83,11.71,29.93
00:06:40,2.180,2.423,2.84,4.09,7.83,11.71,30.24
00:06:41,2.146,2.423,2.84,4.09,7.83,11.73,30.27
00:06:42,2.280,2.424,2.84,4.09,7.83,11.73,30.29
00:06:43,2.172,2.425,2.84,4.09,7.84,11.73,30.31
00:06:44,2.156,2.422,2.85,4.09,7.83,11.72,30.30
00:06:45,2.187,2.425,2.85,4.09,7.83,11.73,30.22
00:06:46,2.153,2.420,2.85,4.09,7.84,11.73,30.29
00:06:47,2.159,2.425,2.85,4.09,7.83,11.73,30.35
