TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(V),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)

00:00:01,0.041,0.009,0.06,3.50,6.91,10.12,29.62
00:00:02,0.041,0.009,0.06,3.50,6.92,10.12,29.53
00:00:03,2.105,2.427,2.86,3.99,7.61,11.12,28.92
00:00:04,2.093,2.427,2.86,3.99,7.61,11.13,28.90
00:00:05,2.119,2.427,2.85,4.00,7.61,11.14,28.58
00:00:06,2.109,2.428,2.86,4.00,7.62,11.15,28.74
00:00:07,2.127,2.413,2.83,4.00,7.63,11.17,28.24
00:00:08,2.120,2.428,2.85,4.01,7.64,11.18,28.70
00:00:09,2.117,2.412,2.83,4.00,7.63,11.18,28.22
00:00:10,2.219,2.438,2.86,4.01,7.64,11.19,29.12
00:00:11,2.101,2.425,2.86,4.00,7.64,11.19,28.60
00:00:12,2.117,2.426,2.86,4.01,7.64,11.21,28.62
00:00:13,2.103,2.428,2.86,4.01,7.64,11.21,28.53
00:00:14,2.120,2.427,2.86,4.01,7.64,11.22,28.51
00:00:15,2.106,2.428,2.86,4.02,7.65,11.22,28.47
00:00:16,2.122,2.428,2.86,4.01,7.65,11.23,28.46
00:00:17,2.207,2.425,2.84,4.01,7.66,11.24,28.30
00:00:18,2.122,2.425,2.86,4.02,7.66,11.24,28.37
00:00:19,2.204,2.425,2.84,4.02,7.66,11.24,28.22
00:00:20,2.161,2.431,2.85,4.02,7.66,11.25,28.95
00:00:21,2.107,2.425,2.86,4.02,7.66,11.26,28.11
00:00:22,2.123,2.428,2.85,4.02,7.66,11.26,28.16
00:00:23,2.108,2.427,2.86,4.02,7.67,11.26,28.18
00:00:24,2.125,2.426,2.86,4.02,7.67,11.28,28.21
00:00:25,2.112,2.428,2.85,4.02,7.67,11.28,28.21
00:00:26,2.127,2.425,2.85,4.03,7.67,11.29,28.19
00:00:27,2.191,2.419,2.84,4.03,7.68,11.29,27.71
00:00:28,2.130,2.425,2.85,4.03,7.68,11.30,28.14
00:00:29,2.123,2.412,2.83,4.03,7.67,11.30,27.72
00:00:30,2.115,2.425,2.86,4.03,7.68,11.31,28.02
00:00:31,2.167,2.436,2.86,4.03,7.68,11.31,28.77
00:00:32,2.125,2.426,2.85,4.03,7.68,11.31,27.96
00:00:33,2.212,2.436,2.86,4.03,7.68,11.31,28.71
00:00:34,2.122,2.427,2.86,4.08,7.73,11.36,28.23
00:00:35,2.258,2.451,2.87,4.07,7.72,11.36,28.49
00:00:36,2.120,2.427,2.85,4.05,7.69,11.33,28.35
00:00:37,2.236,2.437,2.85,4.04,7.69,11.33,28.22
00:00:38,2.120,2.427,2.86,4.04,7.68,11.33,28.36
00:00:39,2.130,2.426,2.85,4.03,7.68,11.33,28.20
00:00:40,2.119,2.427,2.85,4.03,7.68,11.33,28.34
00:00:41,2.224,2.437,2.85,4.04,7.69,11.35,28.58
00:00:42,2.134,2.426,2.86,4.04,7.69,11.35,27.90
00:00:43,2.230,2.433,2.85,4.04,7.70,11.35,28.26
00:00:44,2.119,2.426,2.86,4.04,7.69,11.35,27.89
00:00:45,2.272,2.457,2.88,4.04,7.69,11.35,28.30
00:00:46,2.119,2.427,2.85,4.04,7.69,11.36,27.86
00:00:47,2.270,2.457,2.87,4.04,7.69,11.37,28.30
00:00:48,2.119,2.426,2.85,4.04,7.69,11.36,27.73
00:00:49,2.132,2.425,2.85,4.04,7.69,11.36,28.23
00:00:50,2.120,2.427,2.86,4.03,7.68,11.35,28.28
00:00:51,2.133,2.426,2.85,4.03,7.68,11.36,28.21
00:00:52,2.128,2.428,2.85,4.03,7.68,11.35,28.31
00:00:53,2.140,2.427,2.86,4.03,7.68,11.37,28.19
00:00:54,2.124,2.426,2.86,4.03,7.68,11.37,28.29
00:00:55,2.135,2.425,2.85,4.02,7.68,11.36,28.15
00:00:56,2.174,2.417,2.84,4.04,7.69,11.38,27.45
00:00:57,2.141,2.425,2.85,4.04,7.70,11.38,27.80
00:00:58,2.133,2.411,2.83,4.03,7.69,11.38,27.49
