TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(V),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)

00:00:01,0.040,0.009,0.06,3.67,7.27,11.01,28.05
00:00:02,0.390,0.456,1.83,3.75,7.39,11.16,27.54
00:00:03,0.395,0.459,1.87,3.75,7.38,11.16,27.65
00:00:04,0.392,0.458,1.84,3.75,7.38,11.16,27.49
00:00:05,0.396,0.461,1.88,3.75,7.39,11.17,27.47
00:00:06,0.394,0.461,1.86,3.75,7.38,11.16,27.51
00:00:07,0.390,0.456,1.83,3.75,7.39,11.17,27.35
00:00:08,0.390,0.456,1.83,3.75,7.39,11.17,27.32
00:00:09,0.394,0.460,1.87,3.75,7.39,11.17,27.34
00:00:10,0.393,0.458,1.86,3.75,7.38,11.17,27.44
00:00:11,0.390,0.455,1.82,3.75,7.38,11.17,27.33
00:00:12,0.393,0.459,1.86,3.75,7.39,11.17,26.99
00:00:13,0.393,0.458,1.85,3.75,7.39,11.17,27.01
00:00:14,0.390,0.455,1.82,3.75,7.39,11.17,27.22
00:00:15,0.398,0.463,1.88,3.75,7.39,11.17,27.59
00:00:16,0.392,0.458,1.85,3.75,7.39,11.17,27.46
00:00:17,0.390,0.455,1.82,3.75,7.39,11.17,27.44
00:00:18,0.403,0.469,1.95,3.75,7.39,11.17,27.68
00:00:19,0.393,0.459,1.85,3.75,7.39,11.17,27.04
00:00:20,0.392,0.458,1.85,3.75,7.39,11.17,27.12
00:00:21,0.390,0.456,1.82,3.75,7.39,11.17,27.09
00:00:22,0.393,0.458,1.86,3.75,7.39,11.17,27.13
00:00:23,0.392,0.458,1.84,3.75,7.39,11.17,27.02
00:00:24,0.390,0.455,1.82,3.75,7.39,11.17,27.07
00:00:25,0.393,0.460,1.86,3.75,7.39,11.17,27.07
00:00:26,0.390,0.456,1.83,3.75,7.39,11.17,27.01
00:00:27,0.403,0.470,1.96,3.75,7.39,11.17,27.40
00:00:28,0.393,0.459,1.86,3.75,7.39,11.17,27.05
00:00:29,0.389,0.455,1.81,3.75,7.39,11.17,26.89
00:00:30,0.390,0.455,1.83,3.75,7.39,11.17,26.89
00:00:31,0.394,0.460,1.87,3.75,7.39,11.17,27.56
00:00:32,0.393,0.459,1.86,3.75,7.39,11.17,26.97
00:00:33,0.389,0.454,1.81,3.75,7.39,11.18,26.86
00:00:34,0.393,0.459,1.86,3.75,7.39,11.17,26.96
00:00:35,0.393,0.459,1.86,3.75,7.39,11.17,26.81
00:00:36,0.389,0.454,1.81,3.75,7.39,11.18,26.96
00:00:37,0.401,0.467,1.93,3.75,7.39,11.18,27.27
00:00:38,0.392,0.458,1.84,3.75,7.39,11.18,26.79
00:00:39,0.391,0.456,1.83,3.75,7.39,11.17,26.80
00:00:40,0.393,0.459,1.86,3.75,7.39,11.17,26.89
00:00:41,0.392,0.458,1.84,3.75,7.39,11.17,26.99
00:00:42,0.390,0.455,1.82,3.75,7.39,11.17,26.97
00:00:43,0.401,0.468,1.95,3.76,7.40,11.18,27.41
