TIME(hr:min:sec),INPUT_I(A),CHARGING_I(A),BUCK_I(V),Cell1(V),Cell2(V),V_+(V),TEMPERATURE(deg C)

00:00:01,0.038,0.009,0.06,3.93,7.72,11.74,25.20
00:00:02,0.038,0.009,0.06,3.93,7.72,11.74,25.21
00:00:03,0.541,0.600,2.91,4.03,7.85,11.94,24.77
00:00:04,0.541,0.601,2.91,4.03,7.85,11.94,24.73
00:00:05,0.540,0.599,2.91,4.03,7.85,11.94,24.80
00:00:06,0.540,0.599,2.91,4.03,2.05,11.94,24.73
00:00:07,0.540,0.601,2.91,4.03,2.04,11.94,24.74
00:00:08,0.541,0.600,2.91,4.03,7.85,11.95,24.68
00:00:09,0.541,0.600,2.91,4.03,7.86,11.95,24.97
00:00:10,0.540,0.599,2.91,4.03,7.86,11.95,24.76
00:00:11,0.540,0.600,2.91,4.03,7.86,11.95,24.77
00:00:12,0.540,0.599,2.91,4.03,7.86,11.95,24.74
00:00:13,0.540,0.600,2.91,4.03,7.86,11.96,24.81
00:00:14,0.540,0.600,2.91,4.03,7.86,11.95,24.72
00:00:15,0.541,0.600,2.91,4.03,7.86,11.95,24.71
00:00:16,0.540,0.600,2.91,4.03,7.86,11.95,24.81
00:00:17,0.536,0.592,2.88,4.03,7.86,11.95,25.12
00:00:18,0.544,0.605,2.93,4.04,7.86,11.96,24.74
00:00:19,0.540,0.600,2.91,4.03,7.86,11.96,24.69
00:00:20,0.540,0.599,2.90,4.04,7.86,11.96,24.76
00:00:21,0.540,0.600,2.91,4.03,7.86,11.96,24.75
00:00:22,0.540,0.600,2.91,4.03,7.86,11.95,24.68
00:00:23,0.541,0.599,2.91,4.04,7.86,11.96,24.74
00:00:24,0.532,0.590,2.85,4.03,7.86,11.96,25.13
00:00:25,0.548,0.608,2.95,4.04,7.86,11.96,24.69
00:00:26,0.541,0.600,2.91,4.04,7.87,11.96,24.71
00:00:27,0.540,0.599,2.91,4.04,7.86,11.96,24.63
00:00:28,0.540,0.599,2.91,4.04,7.86,11.96,24.68
00:00:29,0.540,0.599,2.91,4.04,7.87,11.96,24.71
00:00:30,0.539,0.599,2.91,4.04,7.87,11.96,24.65
00:00:31,0.540,0.601,2.91,4.04,7.87,11.96,24.67
00:00:32,0.542,0.601,2.92,4.04,7.87,11.96,25.03
00:00:33,0.537,0.592,2.88,4.04,7.87,11.97,25.01
00:00:34,0.544,0.605,2.93,4.04,7.87,11.96,24.63
00:00:35,0.540,0.601,2.91,4.04,7.87,11.97,24.69
00:00:36,0.540,0.600,2.91,4.04,7.87,11.96,24.61
00:00:37,0.540,0.600,2.91,4.04,7.87,11.97,24.63
00:00:38,0.540,0.599,2.91,4.04,7.87,11.97,24.62
00:00:39,0.540,0.599,2.91,4.04,7.87,11.97,24.68
00:00:40,0.540,0.600,2.91,4.04,7.87,11.97,24.62
00:00:41,0.530,0.586,2.84,4.04,7.87,11.96,25.10
00:00:42,0.547,0.608,2.94,4.04,7.87,11.97,24.61
00:00:43,0.540,0.601,2.91,4.04,7.87,11.97,24.64
00:00:44,0.540,0.600,2.91,4.04,7.87,11.97,24.57
00:00:45,0.540,0.599,2.91,4.04,7.88,11.98,24.65
00:00:46,0.540,0.599,2.91,4.04,7.88,11.97,24.64
00:00:47,0.540,0.600,2.91,4.04,7.88,11.98,24.63
00:00:48,0.540,0.600,2.91,4.04,7.87,11.97,24.60
00:00:49,0.540,0.601,2.91,4.04,7.87,11.97,24.66
00:00:50,0.540,0.600,2.91,4.04,7.87,11.97,24.57
00:00:51,0.530,0.587,2.84,4.04,7.87,11.98,25.06
00:00:52,0.540,0.599,2.91,4.04,7.88,11.98,24.59
00:00:53,0.540,0.600,2.91,4.04,7.87,11.98,24.61
00:00:54,0.540,0.599,2.91,4.04,7.87,11.98,24.56
00:00:55,0.540,0.600,2.91,4.04,7.88,11.97,24.58
00:00:56,0.540,0.600,2.91,4.04,7.88,11.98,24.58
00:00:57,0.540,0.600,2.91,4.04,7.88,11.98,24.57
00:00:58,0.540,0.599,2.91,4.04,7.87,11.98,24.56
00:00:59,0.540,0.600,2.91,4.04,7.87,11.98,24.59
00:01:00,0.540,0.600,2.91,4.04,7.88,11.98,24.57
00:01:01,0.540,0.600,2.91,4.04,7.88,11.98,24.55
00:01:02,0.540,0.599,2.91,4.04,7.88,11.98,24.57
00:01:03,0.540,0.600,2.91,4.04,7.88,11.98,24.59
00:01:04,0.540,0.599,2.91,4.04,7.88,11.98,24.60
00:01:05,0.540,0.599,2.91,4.04,7.88,11.98,24.61
00:01:06,0.540,0.600,2.91,4.04,7.88,11.98,24.57
00:01:07,0.540,0.600,2.91,4.04,7.88,11.98,24.59
00:01:08,0.540,0.599,2.91,4.04,7.88,11.98,24.59
00:01:09,0.540,0.600,2.91,4.04,7.88,11.98,24.59
00:01:10,0.540,0.599,2.91,4.04,7.88,11.98,24.56
00:01:11,0.540,0.600,2.91,4.04,7.88,11.98,24.61
00:01:12,0.540,0.600,2.91,4.04,7.88,11.98,24.60
00:01:13,0.540,0.600,2.91,4.04,7.88,11.98,24.57
00:01:14,0.541,0.600,2.91,4.04,7.88,11.98,24.56
00:01:15,0.541,0.600,2.91,4.04,7.88,11.98,24.55
00:01:16,0.541,0.600,2.91,4.04,7.88,11.98,24.59
00:01:17,0.541,0.601,2.91,4.04,7.88,11.98,24.62
00:01:18,0.541,0.600,2.92,4.04,7.88,11.98,24.73
00:01:19,0.541,0.600,2.92,4.04,7.88,11.98,24.88
